Country,Region,Population,Area,Pop. Density sq.mil,GDP per captia USD per annum,Infant mortality per 1000 births,Literacy,Coastline coast/area 9ratio),Net migration,Phones per 1000,Arable %,Crops %,Other %,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Norway ,WESTERN EUROPE                     ,4610820,323802,14.2,37800,3.7,100,7.77,1.74,461.7,2.87,0,97.13,3,11.46,9.4,0.021,0.415,0.564
Finland ,WESTERN EUROPE                     ,5231372,338145,15.5,27400,3.57,100,0.37,0.95,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
Denmark ,WESTERN EUROPE                     ,5450661,43094,126.5,31100,4.56,100,16.97,2.48,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735
Australia ,OCEANIA                            ,20264082,7686850,2.6,29000,4.69,100,0.34,3.98,565.5,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,129.8,15700,3.93,99.9,0,0.97,314.3,39.8,3.05,57.15,3,9.02,10.59,0.034,0.393,0.573
Estonia ,BALTICS                            ,1324333,45226,29.3,12300,7.87,99.8,8.39,-3.16,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
Latvia ,BALTICS                            ,2274735,64589,35.2,10200,9.55,99.8,0.82,-2.23,321.4,29.67,0.47,69.86,3,9.24,13.66,0.04,0.261,0.699
Poland ,EASTERN EUROPE                     ,38536869,312685,123.3,11100,8.51,99.8,0.16,-0.49,306.3,45.91,1.12,52.97,3,9.85,9.89,0.05,0.311,0.64
Slovenia ,EASTERN EUROPE                     ,2010347,20273,99.2,19000,4.45,99.7,0.23,1.12,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603
Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,5400,20.34,99.7,0.46,-0.39,259.9,56.21,1.61,42.18,3,8.82,14.39,0.187,0.452,0.361
Lithuania ,BALTICS                            ,3585906,65200,55,11400,6.89,99.6,0.14,-0.71,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62
Belarus ,C.W. OF IND. STATES ,10293011,207600,49.6,6100,13.37,99.6,0,2.54,319.1,29.55,0.6,69.85,4,11.16,14.02,0.093,0.316,0.591
Russia ,C.W. OF IND. STATES ,142893540,17075200,8.4,8900,15.39,99.6,0.22,1.02,280.6,7.33,0.11,92.56,,9.95,14.65,0.054,0.371,0.575
Hungary ,EASTERN EUROPE                     ,9981334,93030,107.3,13900,8.57,99.4,0,0.86,336.2,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651
Switzerland ,WESTERN EUROPE                     ,7523934,41290,182.2,32700,4.39,99,0,4.05,680.9,10.42,0.61,88.97,3,9.71,8.49,0.015,0.34,0.645
Sweden ,WESTERN EUROPE                     ,9016596,449964,20,26800,2.77,99,0.72,1.67,715,6.54,0.01,93.45,3,10.27,10.31,0.011,0.282,0.707
Netherlands ,WESTERN EUROPE                     ,16491461,41526,397.1,28600,5.04,99,1.09,2.91,460.8,26.71,0.97,72.32,3,10.9,8.68,0.021,0.244,0.736
France ,WESTERN EUROPE                     ,60876136,547030,111.3,27600,4.26,99,0.63,0.66,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,27600,4.16,99,0.67,2.18,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
Bulgaria ,EASTERN EUROPE                     ,7385367,110910,66.6,7600,20.55,98.6,0.32,-4.58,336.3,40.02,1.92,58.06,3,9.65,14.27,0.093,0.304,0.603
Italy ,WESTERN EUROPE                     ,58133509,301230,193,26700,5.94,98.6,2.52,2.07,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688
Croatia ,EASTERN EUROPE                     ,4494749,56542,79.5,10600,6.84,98.5,10.32,1.58,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622
Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,5.6,6300,29.21,98.4,0,-3.35,164.1,7.98,0.05,91.97,4,16,9.42,0.067,0.386,0.547
Romania ,EASTERN EUROPE                     ,22303552,237500,93.9,7000,26.43,98.4,0.09,-0.13,196.9,40.82,2.25,56.93,3,10.7,11.77,0.101,0.35,0.549
Ireland ,WESTERN EUROPE                     ,4062235,70280,57.8,29600,5.39,98,2.06,4.99,500.5,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49
Austria ,WESTERN EUROPE                     ,8192880,83870,97.7,30000,4.66,98,0,2,452.2,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678
Belgium ,WESTERN EUROPE                     ,10379067,30528,340,29100,4.68,98,0.22,1.23,462.6,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749
Spain ,WESTERN EUROPE                     ,40397842,504782,80,22000,4.42,97.9,0.98,0.99,453.5,26.07,9.87,64.06,3,10.06,9.72,0.04,0.295,0.665
Greece ,WESTERN EUROPE                     ,10688058,131940,81,20000,5.53,97.5,10.37,2.35,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,14.4,11200,15.18,97.1,0.18,0.61,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
Canada ,NORTHERN AMERICA                   ,33098932,9984670,3.3,29800,4.75,97,2.02,5.96,552.2,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,23400,6.4,96.1,4.35,0,591,24,1,75,2,12.56,6.48,0.018,0.259,0.723
Israel ,NEAR EAST                          ,6352117,20770,305.8,19800,7.03,95.4,1.31,0.68,462.3,16.39,4.17,79.44,3,17.97,6.18,0.026,0.317,0.657
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,28800,2.97,93.5,67.12,5.24,546.7,5.05,1.01,93.94,2,7.29,6.29,0.001,0.092,0.906
